 route_short_name |   avg_headway   
------------------+-----------------
 T25              | 00:05:46.919785
 6                | 00:08:32.48667
 5                | 00:08:49.70684
 1                | 00:08:53.553221
 2                | 00:09:05.305491
 71               | 00:09:18.11655
 T92              | 00:09:31.116605
 4                | 00:09:42.143887
 3                | 00:10:31.859249
 55               | 00:10:37.210711
 81               | 00:10:37.709856
 92               | 00:10:53.407364
 T7               | 00:11:00.713112
 25               | 00:11:24.89166
 NAV              | 00:11:28.235294
 93               | 00:11:38.570548
 51               | 00:11:40.589864
 95               | 00:11:54.982702
 19               | 00:12:06.52375
 63               | 00:12:16.760622
 9                | 00:12:33.41367
 65               | 00:12:35.434774
 48               | 00:12:38.821163
 53               | 00:12:44.197173
 66               | 00:12:49.833524
 82               | 00:12:57.929952
 97               | 00:13:22.55382
 64               | 00:13:42.847496
 57               | 00:14:09.686484
 47               | 00:14:16.123294
 7                | 00:14:24.358461
 8                | 00:14:50.890955
 54               | 00:14:55.468041
 45               | 00:14:58.221579
 60               | 00:14:58.808906
 86               | 00:14:59.395318
 89               | 00:15:06.205196
 20               | 00:15:09.302958
 39               | 00:15:20.916492
 28               | 00:15:24.816763
 44               | 00:15:28.856046
 59               | 00:15:35.413351
 12               | 00:15:45.654094
 14               | 00:15:53.303599
 69               | 00:16:02.369796
 79               | 00:16:09.391425
 83               | 00:16:15.832433
 38               | 00:16:22.555774
 T51              | 00:16:24.6
 70               | 00:16:38.06514
 42               | 00:16:38.821719
 49               | 00:16:51.266625
 21               | 00:16:52.669052
 78               | 00:16:58.38702
 13               | 00:16:59.565112
 36               | 00:17:03.528818
 61               | 00:17:06.38547
 29               | 00:17:07.344663
 75               | 00:17:10.156713
 41               | 00:17:15.260942
 88               | 00:17:18.972084
 76               | 00:17:27.972449
 87               | 00:17:33.585929
 56               | 00:17:38.161618
 74               | 00:18:34.114713
 37               | 00:18:34.262084
 46               | 00:18:35.564355
 62               | 00:18:37.960718
 17               | 00:18:48.922819
 52               | 00:18:56.385409
 N08              | 00:19:24.347826
 43               | 00:19:31.157469
 80               | 00:19:42.287193
 N09              | 00:19:47.010294
 33               | 00:19:57.671231
 N05              | 00:20:00
 34               | 00:21:12.147779
 32               | 00:22:24.146035
 50               | 00:23:29.747549
 98               | 00:23:54.521529
 58               | 00:25:31.097213
 27               | 00:25:49.042871
 N06              | 00:29:08
 77               | 00:29:14.248588
 N13              | 00:30:00
 N16              | 00:30:00
 N18              | 00:30:00
 N12              | 00:30:00
 N11              | 00:30:00
 N10              | 00:30:00
 N04              | 00:31:14.257426
 72               | 00:57:00.224155
(92 rows)

