LIGEN,VARIANT,FROM,TO,DISTANCE
001m,1,8733,8742,509.33115246458584
001m,1,8742,8292,942.2625090821747
001m,1,8292,8282,602.910989406216
001m,1,8282,8272,666.0978901623357
001m,1,8272,8012,409.34511269422774
001m,1,8012,8022,601.9967914760555
001m,1,8022,8032,343.895501479682
001m,1,8032,8042,485.3245540151893
001m,1,8042,8052,591.4724682090537
001m,1,8052,8062,314.9321822440379
001m,1,8062,8072,1218.8818464768747
001m,1,8072,8082,709.0682593132397
001m,1,8082,8092,534.980313433156
001m,1,8092,8102,428.38271254174924
001m,1,8102,8112,633.1914592906669
001m,1,8112,8122,786.990681734107
001m,1,8122,8132,810.5986807850204
001m,1,8132,8142,525.9041543006788
001m,1,8142,8152,525.0664856907188
001m,1,8152,8161,838.5904364161397
001m,2,8161,8151,877.0129379861093
001m,2,8151,8141,514.3682219758679
001m,2,8141,8131,545.1191811787737
001m,2,8131,8121,799.4501664059333
001m,2,8121,8111,827.6588545461805
001m,2,8111,8101,610.0404573071878
001m,2,8101,8091,407.0684078250388
001m,2,8091,8081,548.0018305339754
001m,2,8081,8071,711.3315503118383
001m,2,8071,8061,1238.6974999689492
001m,2,8061,8051,288.68535547359534
001m,2,8051,8041,591.3137559799379
001m,2,8041,8031,487.9314070714008
001m,2,8031,8021,340.19340374154126
001m,2,8021,8011,601.0596689617669
001m,2,8011,8271,423.38328836638357
001m,2,8271,8281,659.8982256697054
001m,2,8281,8291,639.4284801825361
001m,2,8291,8741,901.3664077608955
001m,2,8741,8731,525.4926134575671
002m,1,8764,8754,795.4949675748367
002m,1,8754,8744,417.6101305420791
002m,1,8744,8382,511.5195503404798
002m,1,8382,8372,535.1116860036161
002m,1,8372,8362,678.8984817956457
002m,1,8362,8352,701.9955338885161
002m,1,8352,8342,455.54243464039473
002m,1,8342,8332,424.44428478354257
002m,1,8332,8322,436.7538932440666
002m,1,8322,8312,600.8220999270306
002m,1,8312,8302,470.2938689551356
002m,1,8302,8402,536.5988066643176
002m,1,8402,8412,493.01714519507277
002m,1,8412,8422,594.1760921782688
002m,1,8422,8432,519.8612779463783
002m,1,8432,8442,538.5766206886437
002m,1,8442,8462,898.8887784331364
002m,1,8462,8472,681.6939688593302
002m,2,8471,8461,648.7414996812174
002m,2,8461,8441,900.8517396048699
002m,2,8441,8431,527.2179176106724
002m,2,8431,8421,531.0494850186087
002m,2,8421,8411,589.7977738537793
002m,2,8411,8401,487.1943859461189
002m,2,8401,8301,541.6236987645589
002m,2,8301,8311,479.82865093531564
002m,2,8311,8321,593.0289068985285
002m,2,8321,8331,452.7089336670733
002m,2,8331,8341,415.2348322267544
002m,2,8341,8351,432.65457576734025
002m,2,8351,8361,707.5427322431424
002m,2,8361,8371,690.202844344527
002m,2,8371,8381,516.4325354652683
002m,2,8381,8743,508.6021888221567
002m,2,8743,8753,445.93638982359334
002m,2,8753,8763,832.8187564771142
003t,1,5701,5700G,954.0493191778166
003t,1,5700G,5704F,553.0544168940685
003t,1,5704F,5705,389.1961178374927
003t,1,5705,5706,554.6368299584742
003t,1,5706,5707,891.0203129492188
003t,1,5707,2338F,375.0072342960202
003t,1,2338F,2318G,554.2794915729564
003t,1,2318G,2543F,698.2519520036421
003t,1,2543F,6178,195.47334840846997
003t,1,6178,5714,454.3629481473008
003t,1,5714,0531,640.7357169927736
003t,1,0531,0511,514.4362103215763
003t,1,0511,0501,587.4865275931425
003t,1,0501,0601,497.2570455894538
003t,1,0601,0611,477.39480852437555
003t,1,0611,0621,544.2238596324805
003t,1,0621,0702,674.8036854602851
003t,1,0702,0703,556.2347410458042
003t,1,0703,0704,420.6226138739421
003t,1,0704,0705,558.5595084968063
003t,1,0705,0706,607.0753659754209
003t,1,0706,6253,427.77435158181834
003t,1,6253,6422F,539.8796629104108
003t,1,6422F,5221F,344.574671862365
003t,1,5221F,9959F,87.32135388785355
003t,2,9986F,5219F,79.19670855667421
003t,2,5219F,6424F,469.87644313359186
003t,2,6424F,6209,427.5798346820992
003t,2,6209,0722,576.2284176603056
003t,2,0722,0723,451.92856045784447
003t,2,0723,0724,560.822179610281
003t,2,0724,0725,404.52345770048214
003t,2,0725,0726,584.6799270937613
003t,2,0726,0626,668.7919617915995
003t,2,0626,0616,548.3517202949179
003t,2,0616,0606,478.22527117793743
003t,2,0606,0506,493.85107716962466
003t,2,0506,0516,587.7882203854942
003t,2,0516,0526,553.5150966037854
003t,2,0526,6177,741.7142662547667
003t,2,6177,6179,226.5561246328425
003t,2,6179,2537F,270.4499713985624
003t,2,2537F,2200F,463.9970355849364
003t,2,2200F,2337F,785.9860271472535
003t,2,2337F,5770F,294.01951063586057
003t,2,5770F,5771,974.57051880996
